2008	10	14	23.2	2529.3	10	988	6879	1	1.29	-30.7
2008	11	27	23.8	2529.3	0	1012	6599	1	1.34	-28.8
2008	12	22	30	2529.3	10	1033	6723	1	1.28	-28.3
2009	1	13	36	2529.3	1	942	6420	1	1.22	-31.2
2009	1	23	32.9	2529.3	0	1008	6603	1	1.37	-29.7
2009	2	27	24.8	2529.3	10	1025	6267	1	0.65	-31.1
2009	4	3	23	2529.3	10	976	6088	1	0.685	-31.6
2009	5	29	18.6	2529.3	5	1032	6079	1	0.615	-31.7
2009	7	2	20.2	2529.3	20	1030	6076	1	0.47	-31
2009	7	27	24.9	2529.3	65	1090	6060	1	0.545	-30
2009	9	7	26.7	2529.3	7.5	1170	6272	1	0.995	-30
2009	10	31	22.9	2529.3	10	1164	6212	1	1.06	-30
2009	12	8	21.5	2529.3	0	1139	6029	1	1.055	-22.4
2010	1	29	21.1	2529.3	0	1043	5814	1	0.56	-30.2
2010	3	5	23.8	2529.3	0	1139	6029	1		
